netstrain	pxy1	varcorCSYM	Pxy[Mpa]
1.0950	0.7771	94.3398	777.1131
1.1000	0.7800	94.2502	780.0275
1.1050	0.7841	94.2752	784.1389
1.1100	0.7870	94.2961	786.9739
1.1150	0.7912	94.2832	791.2016
1.1200	0.7940	94.2725	794.0040
1.1250	0.7981	94.2931	798.1029
1.1300	0.8009	94.1997	800.8735
1.1350	0.8051	94.1919	805.1267
1.1400	0.8079	94.2380	807.8549
1.1450	0.8121	94.2381	812.1449
1.1500	0.7687	94.1754	768.6844
1.1550	0.7729	94.0608	772.9041
1.1600	0.7757	94.0570	775.7359
1.1650	0.7799	94.0789	779.8797
1.1700	0.7828	94.0825	782.7578
1.1750	0.7869	93.9735	786.9076
1.1800	0.7897	94.0903	789.7375
1.1850	0.7939	94.0999	793.9460
1.1900	0.7967	93.9934	796.7477
1.1950	0.8010	94.0004	800.9811
1.2000	0.8038	94.0374	803.7860
1.2050	0.8080	94.0561	807.9683
1.2100	0.8107	94.0373	810.7497
1.2150	0.8150	93.9933	814.9658
1.2200	0.8178	94.0588	817.7904
1.2250	0.8220	94.0375	821.9973
1.2300	0.8248	94.0139	824.7908
1.2350	0.8290	94.0129	829.0036
1.2400	0.8318	93.9990	831.7814
1.2450	0.8360	93.8814	835.9583
1.2500	0.8388	93.9440	838.7733
1.2550	0.8429	93.9366	842.9418
1.2600	0.8458	93.9266	845.8080
1.2650	0.8500	93.8946	849.9843
1.2700	0.8527	93.9620	852.6662
1.2750	0.8571	93.8415	857.0630
1.2800	0.8597	93.9284	859.6674
1.2850	0.8640	93.8800	864.0008
1.2900	0.8667	93.9910	866.6875
1.2950	0.8710	93.8280	871.0473
1.3000	0.8737	93.8899	873.6850
1.3050	0.8781	93.8193	878.0528
1.3100	0.8806	93.8983	880.6304
1.3150	0.8812	93.8054	881.1606
1.3200	0.8836	93.9089	883.5743
1.3250	0.8879	93.8294	887.8879
1.3300	0.8906	93.8498	890.6243
1.3350	0.8948	93.8538	894.8418
1.3400	0.8976	93.8509	897.6382
1.3450	0.9018	93.7896	901.8341
1.3500	0.9046	93.7986	904.6232
1.3550	0.9088	93.7871	908.8448
1.3600	0.9116	93.7781	911.6492
1.3650	0.9147	93.7616	914.7067
